cod_ue_id,desc_ue,distrito,area,desc_departamento,estadoinstitucion,Latitud,Longitud,distance_border_km,rank_border,prioridad_frontera
81870023,RENE BARRIENTOS,SAN MATIAS,RURAL,Santa Cruz,Abierta,-16.350448632126454,-58.40901672840141,97.09932496167542,1266,MEDIA
81870054,DONATO YAVARI MOLINA,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.373897612330033,-58.40935873985262,97.12418690606397,1267,MEDIA
81870002,ISMAEL MONTES GAMBOA,SAN MATIAS,URBANO,Santa Cruz,Abierta,-16.373897612330033,-58.40935873985262,97.12418690606397,1268,MEDIA
60680004,YANARANI,TACACOMA/ QUIABAYA,RURAL,La Paz,Abierta,-15.615300178528,-68.69402313232399,97.13092061531725,1269,MEDIA
80720177,MURUMAMANI,ACHACACHI,RURAL,La Paz,Abierta,-15.909700393676758,-68.6924819946289,97.15513665042974,1270,MEDIA
80620039,CHOJASIVI,PUCARANI,RURAL,La Paz,Abierta,-16.441299438476562,-68.6893539428711,97.22799357582258,1271,MEDIA
81720048,LA MERCED,PADCAYA,RURAL,Tarija,Abierta,-22.026500701904,-64.67560577392601,97.23794186404673,1272,MEDIA
60690008,COSÑIPATA,AUCAPATA,RURAL,La Paz,Abierta,-15.484383035318922,-68.6933829784395,97.26137241365923,1273,MEDIA
80720052,SIMON BOLIVAR DE ACHACACHI,ACHACACHI,URBANO,La Paz,Abierta,-16.045000076293945,-68.69055938720703,97.29515783402033,1274,MEDIA
80680038,SAN PEDRO,SORATA,RURAL,La Paz,Abierta,-15.74839973449707,-68.69181823730469,97.3038299371801,1275,MEDIA
80720121,GUALBERTO VILLARROEL,ACHACACHI,RURAL,La Paz,Abierta,-16.120730736027273,-68.689784407616,97.34096657758157,1276,MEDIA
81390006,23 DE MARZO DE KOLLPANI,SAN PABLO DE LIPEZ / MOJINETE/ SAN ANTONIO DE,RURAL,Potosi,Abierta,-22.025299072266,-66.78524017334001,97.37170727534854,1277,MEDIA
81340053,SALITRE,VILLAZON,RURAL,Potosi,Abierta,-22.02470016479492,-65.34595489501953,97.43837765502953,1278,MEDIA
72440012,ENAREVENA,NUEVO MANOA (C. NUEVA ESPERANZA)/ VILLA NUEVA/EUREKA (C.SAN),RURAL,Pando,Abierta,-10.575300216675,-66.106704711914,97.43842012026109,1279,MEDIA
81710083,RVDO. OLIVERIO PELLICELLI - SECUNDARIA,YACUIBA,URBANO,Tarija,Abierta,-22.024099349975582,-63.672977447509766,97.50526036071801,1280,MEDIA
81710051,RVDO. OLIVERIO PELLICELLI TURNO MAÑANA,YACUIBA,URBANO,Tarija,Abierta,-22.024099349975582,-63.672977447509766,97.50526036071801,1281,MEDIA
80720214,JOSE ANTONIO PLANCARTE,ACHACACHI,URBANO,La Paz,Abierta,-16.049200057983,-68.68827819824202,97.53715089835322,1282,MEDIA
80680035,POQUERANI,SORATA,RURAL,La Paz,Abierta,-15.751999855042,-68.68953704834001,97.54651096621497,1283,MEDIA
80680070,COHAJONI,SORATA,RURAL,La Paz,Abierta,-15.726900100708008,-68.6890640258789,97.60924066462057,1284,MEDIA
81340081,SANTA ROSA DE CANGREJOS,VILLAZON,RURAL,Potosi,Abierta,-22.022899627686,-65.23316192626999,97.63881344599413,1285,MEDIA
71710047,HITO 22 CAMPO LARGO,CARAPARI,RURAL,Tarija,Abierta,-22.02276563454077,-63.95509684085852,97.65372956292114,1286,MEDIA
80720210,DON BOSCO DE VILLA LEALTAD,ACHACACHI,URBANO,La Paz,Abierta,-16.04990005493164,-68.68706512451172,97.66658379235194,1287,MEDIA
50620012,PAJCHIRI,PUERTO PEREZ,RURAL,La Paz,Abierta,-16.365101600257297,-68.68532447775272,97.69645205598177,1288,MEDIA
81870047,BAHIA NEGRA,ROBORE,RURAL,Santa Cruz,Abierta,-17.838075640064297,-58.42248468359378,97.75423159138171,1289,MEDIA
80720197,OMASUYOS PRIMARIA,ACHACACHI,URBANO,La Paz,Abierta,-16.046464723220456,-68.68592965602909,97.78974380542444,1290,MEDIA
80720181,OMASUYOS SECUNDARIO,ACHACACHI,URBANO,La Paz,Abierta,-16.046464723220456,-68.68592965602909,97.78974380542444,1291,MEDIA
80720048,EUFRACIO IBAÑEZ,ACHACACHI,RURAL,La Paz,Abierta,-16.020015110118134,-68.68590110540379,97.80577237748251,1292,MEDIA
80720172,NACIONAL DE TAHARI,ACHACACHI,RURAL,La Paz,Abierta,-15.954400062561035,-68.6859130859375,97.83658578372511,1293,MEDIA
80720002,MCAL. SANTA CRUZ,ACHACACHI,URBANO,La Paz,Abierta,-16.042600631714,-68.68541717529297,97.84646812585358,1294,MEDIA
81710009,JOSE MARIANO SERRANO MAÑANA,YACUIBA,URBANO,Tarija,Abierta,-22.020700454711918,-63.67961120605469,97.88362538146917,1295,MEDIA
81710062,JOSE MARIANO SERRANO TARDE,YACUIBA,URBANO,Tarija,Abierta,-22.020700454711918,-63.67961120605469,97.88362538146917,1296,MEDIA
60680038,MILLIMBAYA,TACACOMA/ QUIABAYA,RURAL,La Paz,Abierta,-15.571928515519556,-68.68714837988301,97.88864937069951,1297,MEDIA
20710006,WISAMAYA,CAQUIAVIRI/NAZACARA DE PACAJES,RURAL,La Paz,Abierta,-16.892438328270384,-68.6809739470487,97.89167579098462,1298,MEDIA
72440005,EMILIO VILLAR,NUEVO MANOA (C. NUEVA ESPERANZA)/ VILLA NUEVA/EUREKA (C.SAN),RURAL,Pando,Abierta,-10.579400062561,-65.73863220214798,97.89481496429055,1299,MEDIA
80720072,PALLARETE,ACHACACHI,RURAL,La Paz,Abierta,-16.14069999332143,-68.68420195579523,97.9280977021186,1300,MEDIA
80720137,TAHARI,ACHACACHI,RURAL,La Paz,Abierta,-15.953900337219238,-68.68495178222656,97.93972028206046,1301,MEDIA
20710009,KALLA LLALLAGUA,CAQUIAVIRI/NAZACARA DE PACAJES,RURAL,La Paz,Abierta,-16.92399310189869,-68.68033063411718,97.943801032989,1302,MEDIA
81720019,MARAÑUELO,PADCAYA,RURAL,Tarija,Abierta,-22.020000457764,-64.88432312011702,97.96154904171149,1303,MEDIA
81720026,PUESTO RUEDA,PADCAYA,RURAL,Tarija,Abierta,-22.019899368286,-64.46759796142601,97.97280232240216,1304,MEDIA
70710010,KJARI BAJA,CAQUIAVIRI/NAZACARA DE PACAJES,RURAL,La Paz,Abierta,-16.999696927321,-68.67952591180767,97.99000572603285,1305,MEDIA
81710054,NACIONAL PRESIDENTE GERMAN BUSCH,YACUIBA,URBANO,Tarija,Abierta,-22.019699096679688,-63.68486404418945,97.99509655761702,1306,MEDIA
20710014,JUAN JOSE TORREZ GONZALES,CAQUIAVIRI/NAZACARA DE PACAJES,RURAL,La Paz,Abierta,-16.924436254170796,-68.67962372303055,98.01885561965175,1307,MEDIA
80580013,SIATHA,GRAL. JUAN J. PEREZ (CHARAZANI) / CURVA,RURAL,La Paz,Abierta,-15.206199645996,-68.68688201904297,98.08939566345288,1308,MEDIA
80720047,BAUTISTA SAAVEDRA,ACHACACHI,URBANO,La Paz,Abierta,-16.043477700583086,-68.6830398440365,98.10037462835557,1309,MEDIA
80680016,CHEJJE,SORATA,RURAL,La Paz,Abierta,-15.793800354003906,-68.68407440185547,98.11155594323431,1310,MEDIA
81710065,SAGRADO CORAZON DE JESUS,YACUIBA,URBANO,Tarija,Abierta,-22.018100738525,-63.681800842284986,98.17302578739685,1311,MEDIA
81720092,REJARA SUD,PADCAYA,RURAL,Tarija,Abierta,-22.018100738525,-64.99630737304699,98.17302578739685,1312,MEDIA
81710060,SAGRADO CORAZON DE JESUS PRIMARIA,YACUIBA,URBANO,Tarija,Abierta,-22.018100738525,-63.681800842284986,98.17302578739685,1313,MEDIA
81710012,SAGRADO CORAZON DE JESUS SECUNDARIA,YACUIBA,URBANO,Tarija,Abierta,-22.018100738525,-63.681800842284986,98.17302578739685,1314,MEDIA
81710066,ADVENTISTA ESPAADY,YACUIBA,URBANO,Tarija,Abierta,-22.01799964904785,-63.67877960205078,98.184279067993,1315,MEDIA
81710008,RAQUEL C. DE AVILA,YACUIBA,URBANO,Tarija,Abierta,-22.017200469970703,-63.67707824707031,98.27324368286116,1316,MEDIA
81710116,RAQUEL C. DE AVILA II,YACUIBA,URBANO,Tarija,Abierta,-22.017200469970703,-63.67707824707031,98.27324368286116,1317,MEDIA
60660002,TIAHUANACU A,TIAWANACU,RURAL,La Paz,Abierta,-16.558799743652344,-68.67871856689453,98.30377852787763,1318,MEDIA
60660003,ARTHUR POSNANSKY,TIAWANACU,RURAL,La Paz,Abierta,-16.556499481201172,-68.67872619628906,98.30413780539435,1319,MEDIA
81710084,BOLIVIA TARDE,YACUIBA,URBANO,Tarija,Abierta,-22.01689910888672,-63.68022537231445,98.30679119873031,1320,MEDIA
81710067,BOLIVIA MAÑANA,YACUIBA,URBANO,Tarija,Abierta,-22.01689910888672,-63.68022537231445,98.30679119873031,1321,MEDIA
81710007,REGIMIENTO AROMA,YACUIBA,URBANO,Tarija,Abierta,-22.01689910888672,-63.686561584472656,98.30679119873031,1322,MEDIA
81710006,RAUL ANTELO BOLIVAR,YACUIBA,URBANO,Tarija,Abierta,-22.01689910888672,-63.686561584472656,98.30679119873031,1323,MEDIA
81710013,CNL. MIGUEL ESTENSSORO TARDE,YACUIBA,URBANO,Tarija,Abierta,-22.016599655151367,-63.68013381958008,98.34012638854963,1324,MEDIA
81710014,CNL. MIGUEL ESTENSSORO MAÑANA,YACUIBA,URBANO,Tarija,Abierta,-22.016599655151367,-63.68013381958008,98.34012638854963,1325,MEDIA
81710053,PRESIDENTE GERMAN BUSCH,YACUIBA,URBANO,Tarija,Abierta,-22.016004096287304,-63.67691493034397,98.40642400129715,1326,MEDIA
81710055,GRAN CHACO,YACUIBA,URBANO,Tarija,Abierta,-22.016004096287304,-63.67691493034397,98.40642400129715,1327,MEDIA
