cod_ue_id,desc_ue,distrito,area,desc_departamento,estadoinstitucion,latitud,longitud
81850037,MIGUEL SUAREZ ARANA TARDE,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.968799591064,-57.79478454589798
40710001,LADISLAO CABRERA,CHARAÑA,RURAL,La Paz,Abierta,-17.592699050903,-69.44800567626999
71720010,8 DE SEPTIEMBRE,BERMEJO,URBANO,Tarija,Abierta,-22.742599487305,-64.334457397461
80550021,PAIRUMANI CHICO,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.322599411011,-69.27549743652298
70550001,CATACORA,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.160560030644124,-69.4874625802043
80700010,COAJACHI PRIMERO,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.674599647521973,-69.25142669677734
71720015,CANDADO GRANDE,BERMEJO,RURAL,Tarija,Abierta,-22.677900314331,-64.40869140625
71720022,NARANJITOS,BERMEJO,RURAL,Tarija,Abierta,-22.85173171127181,-64.32091033458755
80700091,PASUJA MUELLE,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.573200225830078,-69.27657318115234
60850034,JALDIN RANCHO,SAN BENITO (C. VILLA JOSE QUINTIN MENDOZA),RURAL,Cochabamba,Abierta,-1.4939713066293112,-61.65527343750001
81720035,2 DE AGOSTO,PADCAYA,RURAL,Tarija,Abierta,-22.486700057983,-64.19704437255899
81720018,LOS POZOS,BERMEJO,RURAL,Tarija,Abierta,-22.581600189208984,-64.41850280761719
71720007,MCAL. ANDRES DE SANTA CRUZ,BERMEJO,URBANO,Tarija,Abierta,-22.732500076294,-64.33969879150402
80700009,PUERTO BELEN,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.591255236399876,-69.2839351892473
80700011,SAN PEDRO DE JURINSAYA,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.604399681091309,-69.27972412109375
81720031,ISMAEL MONTES,PADCAYA,RURAL,Tarija,Abierta,-22.539793211948,-64.23697543144203
80700001,NICOLAS ACOSTA,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.53432892612,-69.25370681285801
80700082,PAQUECHANI,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.505599975585938,-69.25770568847656
80700110,PIÑANI,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.470100402832031,-69.29114532470703
81720034,TREMENTINAL,PADCAYA,RURAL,Tarija,Abierta,-22.448131362916,-64.16076308488903
80700012,PARAJACHI SEGUNDO,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.644800186157228,-69.21129608154297
71720060,8 DE SEPTIEMBRE SECUNDARIO,BERMEJO,URBANO,Tarija,Abierta,-22.742599487305,-64.334457397461
80700101,COAJACHI SEGUNDO,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.676912665704084,-69.24385946989105
82470031,TRES ESTRELLAS,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-11.340900421143,-69.274940490723
71720021,CAMPO GRANDE,BERMEJO,RURAL,Tarija,Abierta,-22.805843989685545,-64.31047058105491
80700069,CUTINI MOJSA HUMA,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.50119972229004,-69.22308349609375
40710032,SICUANI TRIPARTITO,CHARAÑA,RURAL,La Paz,Abierta,-17.49444292733,-69.46586823463497
71720008,AULIO ARAOZ,BERMEJO,URBANO,Tarija,Abierta,-22.725299835205,-64.34423828125
71720018,SANTA ROSA,BERMEJO,RURAL,Tarija,Abierta,-22.638399124146,-64.37252807617199
80700106,JUPANI GRANDE,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.494400024414062,-69.25840759277344
80890175,KELAMAYU,SACABA,RURAL,Cochabamba,Abierta,-6.182731991599009,-70.74878121386666
80550013,SANCANI,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.165265910948335,-69.33440458774578
81720027,JUAN PABLO II,PADCAYA,RURAL,Tarija,Abierta,-22.460041191352,-64.47627443075203
62480005,SAN MIGUEL,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-10.955900192261,-69.47961425781199
71850004,CLEIDY DURAN YOVIO,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.00262474201937,-57.70925879478443
71720013,BARREDERO,BERMEJO,RURAL,Tarija,Abierta,-22.606899261475,-64.25466918945301
81720025,SAN ROQUE,PADCAYA,RURAL,Tarija,Abierta,-22.478067558515,-64.28570407629098
80550006,VINTO WILAMAYA,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.08873024261815,-69.2676545381546
80550019,BERENGUELA,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.28689956665,-69.21408081054699
71720017,LA ESPERANZA,BERMEJO,RURAL,Tarija,Abierta,-22.727699279785,-64.31828308105503
80700081,TOTORANI,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.51010036468506,-69.22261047363281
81850030,MCAL. SUCRE,PUERTO SUAREZ,RURAL,Santa Cruz,Abierta,-18.9972943,-57.868508599999984
81720021,NARANJAL,PADCAYA,RURAL,Tarija,Abierta,-22.422700881958,-64.440185546875
70550007,PAIRUMANI GRANDE,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.328100204467773,-69.42662048339844
70670008,SUCHEZ,PELECHUCO,RURAL,La Paz,Abierta,-14.819499969482,-69.334243774414
81850036,GERMAN BUSCH,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.97220039367676,-57.80363845825195
71850010,27 DE MAYO,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.0132999420166,-57.71179962158203
62480020,EL CEIBO,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-11.181900024414,-69.206314086914
71720049,CAÑADON BUENA VISTA,BERMEJO,RURAL,Tarija,Abierta,-22.557100296020508,-64.32115173339844
71720006,LIBERTADOR SIMON BOLIVAR,BERMEJO,URBANO,Tarija,Abierta,-22.732999801636,-64.33908843994101
80700044,MOJSAHUMA,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.46345455121955,-69.21385912855254
80700093,TAHUACUYO,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.54069995880127,-69.25202941894531
71720046,25 DE ENERO,BERMEJO,RURAL,Tarija,Abierta,-22.721200942993,-64.298789978027
80550007,CORHUARI,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.02961109683551,-69.24139261245733
71720048,NARANJO DULCE,BERMEJO,RURAL,Tarija,Abierta,-22.622100830078,-64.42955017089798
62480021,ARCA DE NOE,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-11.158495005207,-69.26893024404899
70550008,TOLACOLLO,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.234284515415236,-69.55578702688234
71720005,GUIDO VILLAGOMEZ,BERMEJO,URBANO,Tarija,Abierta,-22.736999511719,-64.33283996581997
80700007,MCAL. SUCRE,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.53432892612,-69.25370681285801
80550020,VILLA EXALTACION,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.245291422138653,-69.27588701248158
81850021,FELIPE LEONOR RIBERA,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.96789932251,-57.80039215087902
62480018,BIOCEANICA,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-11.132599830627,-69.37094879150402
80700046,PICHARI,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.60540008544922,-69.22657012939453
81940048,MONTE VERDE,SAN JOSE (C. SAN JOSE DE CHIQUITOS),RURAL,Santa Cruz,Abierta,-14.440664862991143,-69.97158050537111
71720024,25 DE MAYO,BERMEJO,URBANO,Tarija,Abierta,-22.732999801636,-64.33908843994101
